,channel,videoId,videoKind,publishedDateTime,videoTitle,playlistId,categoryId,duration,viewCount,likeCount,dislikeCount,score,participantId,numOfVotes,mean,std
1793,UCsooa4yRKGN_zEE8iknghZA | TED-Ed,9iMGFqMmUFs,youtube#video,2016-03-29T15:10:06.000Z,What would happen if you didn’t drink water? - Mia Nacamulli,UUsooa4yRKGN_zEE8iknghZA,27.0,PT4M52S,7929378.0,76467.0,1707.0,"0, 0","['AYMJAMX7Z7YHG', 'A38SQ8KCQ1GR06']",2,0.0,0.0
1794,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,9iUfVT0pgDI,youtube#video,2016-02-03T18:49:50.000Z,What to Look for in 2016 - Industry Developments to Watch - Extra Credits,UUCODtTcd5M1JavPCOr_Uydg,20.0,PT6M25S,339083.0,9135.0,112.0,"0, 0, 0","['A2T2H9I6P3DPD2', 'A2X135IX70LYH5', 'AA4KKLIU4C3NY']",3,0.0,0.0
1795,UC6nSFpj9HTCZ5t-N3Rm3-HA | Vsauce,9iUjvNtgWAs,youtube#video,2018-03-13T21:06:39.000Z,"History of Media Lit, part 2: Crash Course Media Literacy #3",UUX6b17PVsYBQ0ip5gyeme-Q,27.0,PT9M55S,104510.0,2655.0,50.0,"0, 2","['A140DPSW275GFR', 'A16QZSBYXE5VY8']",2,1.0,1.0
1796,UCZYTClx2T1of7BRZ86-8fow | SciShow,9jAkeXtL5rQ,youtube#video,2019-04-23T21:00:00.000Z,What's Better for Wounds: Scabs or Bandages?,UUZYTClx2T1of7BRZ86-8fow,27.0,PT3M39S,219656.0,8971.0,325.0,"0, 0","['A13FVM2C914A3H', 'A86CAG3LG83GG']",2,0.0,0.0
1797,UCLXo7UDZvByw2ixzpQCufnA | Vox,9jv0-dUu4_k,youtube#video,2015-04-07T19:25:42.000Z,What I learned by befriending Iranians on Facebook,UULXo7UDZvByw2ixzpQCufnA,25.0,PT3M1S,755101.0,19904.0,1097.0,"0, 0","['A86CAG3LG83GG', 'A2KWEVSI7P1RGQ']",2,0.0,0.0
1799,UC6nSFpj9HTCZ5t-N3Rm3-HA | Vsauce,9kgzA0Vd8S8,youtube#video,2016-12-22T22:00:00.000Z,How Power Gets to Your Home: Crash Course Physics #35,UUX6b17PVsYBQ0ip5gyeme-Q,27.0,PT8M33S,186284.0,2708.0,133.0,"0, 1, 2","['A1YFETJK9CSLGP', 'ANBWJZYU2A68T', 'AH31QLJ57XC8W']",3,1.0,0.8164965809277259
1800,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,9knimHTnrgc,youtube#video,2017-04-26T22:35:18.000Z,Localize Everything - Finding Hardcore Fans Worldwide - Extra Credits,UUCODtTcd5M1JavPCOr_Uydg,20.0,PT7M46S,341072.0,12574.0,271.0,"0, 0","['A2OP2ZANIM5ZV', 'ANBWJZYU2A68T']",2,0.0,0.0
1801,UC3sznuotAs2ohg_U__Jzj_Q | The Film Theorists,9m-kjmxsZms,youtube#video,2016-03-17T21:11:15.000Z,Film Theory: How Batman BEATS Superman! - Batman v Superman,UU3sznuotAs2ohg_U__Jzj_Q,1.0,PT13M45S,11797468.0,218689.0,11199.0,"0, 0","['AA4KKLIU4C3NY', 'A86CAG3LG83GG']",2,0.0,0.0
1802,UCP5tjEmvPItGyLhmjdwP7Ww | RealLifeLore,9mVRc80vhhQ,youtube#video,2017-03-03T15:30:18.000Z,"5 ""Impossible"" Things That Can Happen On Other Planets",UUP5tjEmvPItGyLhmjdwP7Ww,27.0,PT7M24S,16984884.0,275633.0,9861.0,0,['A1YZXZITMRNKUK'],1,0.0,0.0
1803,UCRyIP2oznv4UPAl1jmKS5kA | Top 10s,9mer-XmxCH4,youtube#video,2016-05-28T21:14:37.000Z,10 Couples You Wont Believe Actually Exist,UURyIP2oznv4UPAl1jmKS5kA,24.0,PT4M43S,3833145.0,4513.0,1389.0,"0, 2, 3","['A3BHWR32XVJSXJ', nan, 'A18G2CLYSTENK']",2,1.666666666666667,1.247219128924647
1804,UC64UiPJwM_e9AqAd7RiD7JA | Today I Found Out,9n6bOt2pqcQ,youtube#video,2018-07-09T17:10:51.000Z,On The Far Side,UU64UiPJwM_e9AqAd7RiD7JA,27.0,PT8M46S,594192.0,20665.0,244.0,"1, 2","['AXHC7OMH8XE9U', 'A3YP2RNFZ1PQP']",2,1.5,0.5
1805,UC64UiPJwM_e9AqAd7RiD7JA | Today I Found Out,9nTtGu6nkRE,youtube#video,2019-08-02T17:00:02.000Z,The Fascinating Story Behind the First Commercially Successful Video Game,UU64UiPJwM_e9AqAd7RiD7JA,27.0,PT15M18S,172746.0,6556.0,118.0,0,[nan],0,0.0,0.0
1806,UCftwRNsjfRo08xYE31tkiyw | WIRED,9oFQzvPUzeU,youtube#video,2017-03-23T16:00:29.000Z,Ken Jeong Answers Medical Questions From Twitter | Tech Support | WIRED,UUftwRNsjfRo08xYE31tkiyw,24.0,PT6M21S,30819805.0,837268.0,11053.0,"0, 0","['AA4KKLIU4C3NY', 'AXHC7OMH8XE9U']",2,0.0,0.0
1807,UCsooa4yRKGN_zEE8iknghZA | TED-Ed,9p5Oi4wPVVo,youtube#video,2018-08-16T14:59:09.000Z,Zen kōans: unsolvable enigmas designed to break your brain - Puqun Li,UUsooa4yRKGN_zEE8iknghZA,27.0,PT4M58S,1368815.0,45176.0,1261.0,"0, 0","['A2CS92S5XOYS3B', 'A11T7A917PMNSX']",2,0.0,0.0
1808,UCZYTClx2T1of7BRZ86-8fow | SciShow,9pJzv73j2Yw,youtube#video,2019-02-19T22:00:01.000Z,Why Do We Ride Horses But Not Zebras?,UUZYTClx2T1of7BRZ86-8fow,27.0,PT4M2S,300192.0,12408.0,216.0,"0, 1","['AYMJAMX7Z7YHG', 'AC54HUSIFWSP']",2,0.5,0.5
1809,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,9pnCI1CP6_k,youtube#video,2018-10-06T16:00:01.000Z,Worst Days In The History of the World,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT11M11S,2250675.0,28027.0,4614.0,0,['A3GRDYAGMTAU02'],1,0.0,0.0
1810,UC9RM-iSvTu1uPJb8X5yp3EQ | Wendover Productions,9poImReDFeY,youtube#video,2019-03-05T15:30:01.000Z,How Freight Trains Connect the World,UU9RM-iSvTu1uPJb8X5yp3EQ,27.0,PT10M22S,1305030.0,32862.0,468.0,"0, 1","['A140DPSW275GFR', 'AC54HUSIFWSP']",2,0.5,0.5
1811,UCkJEpR7JmS36tajD34Gp4VA | Psych2Go,9q0X6xpa_vs,youtube#video,2019-03-25T00:18:43.000Z,5 Reasons Introverts Like Being Alone,UUkJEpR7JmS36tajD34Gp4VA,27.0,PT3M30S,131724.0,9650.0,40.0,"0, 1","['A3MIMTJL7OVXJB', 'A2HX13XTRKDD9C']",2,0.5,0.5
1812,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,9qKv3DES9Xg,youtube#video,2018-07-17T15:00:03.000Z,Most Evil Russian Serial Killer - The Chessboard Killer,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT10M18S,2276005.0,32587.0,953.0,0,['A36SUOEMOIXFSO'],1,0.0,0.0
1813,UCkJEpR7JmS36tajD34Gp4VA | Psych2Go,9rkHYBJ04T4,youtube#video,2019-04-04T23:18:30.000Z,7 Ways Childhood Abuse Follows You,UUkJEpR7JmS36tajD34Gp4VA,27.0,PT4M12S,104809.0,8568.0,34.0,1,['A3T3CRF61D218E'],1,1.0,0.0
1814,UC3sznuotAs2ohg_U__Jzj_Q | The Film Theorists,9s9UXXAmlTg,youtube#video,2016-01-02T18:00:01.000Z,Film Theory: Is The Martian's POOP SCIENCE Full of CRAP?,UU3sznuotAs2ohg_U__Jzj_Q,1.0,PT13M1S,7149565.0,155659.0,4008.0,"0, 1","['AA4KKLIU4C3NY', 'A3QU964EOJXS56']",2,0.5,0.5
1815,UCZYTClx2T1of7BRZ86-8fow | SciShow,9sfeM2oSPY0,youtube#video,2015-12-29T22:00:00.000Z,What's Causing That Stitch in Your Side?,UUZYTClx2T1of7BRZ86-8fow,27.0,PT2M44S,1882364.0,30977.0,708.0,"1, 2, 2","['A2KX6B80R6UBRO', 'AFIK3VBMMX6G6', 'AH31QLJ57XC8W']",3,1.666666666666667,0.4714045207910317
1816,UC64UiPJwM_e9AqAd7RiD7JA | Today I Found Out,9t1mSSNkFxE,youtube#video,2017-09-19T18:48:13.000Z,What's the Difference Between BCE/CE and BC/AD and Who Came Up with These Systems?,UU64UiPJwM_e9AqAd7RiD7JA,27.0,PT8M3S,572301.0,10704.0,570.0,0,['A36SUOEMOIXFSO'],1,0.0,0.0
1817,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,9tSLcb6NcKs,youtube#video,2017-07-06T23:00:00.000Z,You can buy the only sunglasses made with NASA optical technology for less than $100,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT1M28S,246746.0,4922.0,276.0,"0, 2, 3","['AYWVS4HKC3UVM', 'A3BTK49X4ITNXJ', 'A3NZNWXAOR7216']",3,1.666666666666667,1.247219128924647
1818,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,9uDUv1TpGxI,youtube#video,2019-03-24T16:15:00.000Z,What Actually Is Game Theory?,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT8M22S,225442.0,5730.0,195.0,"0, 1","['A3NNWJI1G86RJ2', 'A1SNX9NBRRIVON']",2,0.5,0.5
1819,UCLXo7UDZvByw2ixzpQCufnA | Vox,9vFRZ_NFJpY,youtube#video,2017-08-26T18:06:46.000Z,A mountaintop view of the total solar eclipse,UULXo7UDZvByw2ixzpQCufnA,25.0,PT1M25S,374182.0,9890.0,577.0,"0, 1","['A2D4RMKLUQ6RZA', 'AXHC7OMH8XE9U']",2,0.5,0.5
1821,UCZYTClx2T1of7BRZ86-8fow | SciShow,9vGYSE4fVhQ,youtube#video,2016-07-08T21:00:00.000Z,Are Self-Driving Cars Safe?,UUZYTClx2T1of7BRZ86-8fow,27.0,PT5M20S,428536.0,13655.0,225.0,"0, 2","['A3GRDYAGMTAU02', 'https://visualblocks.app/task?task=19']",2,1.0,1.0
1822,UCZWlSUNDvCCS1hBiXV0zKcA | PragerU,9vVohGWhMWs,youtube#video,2015-08-31T08:16:44.000Z,Does Free Speech Offend You?,UUZWlSUNDvCCS1hBiXV0zKcA,27.0,PT5M21S,1874802.0,51332.0,1947.0,"0, 0, 2, 2","['A2T9KCQM1ZNANP', 'A3BHWR32XVJSXJ', 'A2W5MSZP0O4Y2P', nan]",3,1.0,1.0
1823,UCLXo7UDZvByw2ixzpQCufnA | Vox,9vuqI2v2IRs,youtube#video,2019-11-14T13:00:02.000Z,"Where the 1960s ""psychedelic"" look came from",UULXo7UDZvByw2ixzpQCufnA,27.0,PT5M41S,793196.0,43985.0,379.0,"0, 0","['AXHC7OMH8XE9U', 'A36SUOEMOIXFSO']",2,0.0,0.0
1825,UCZYTClx2T1of7BRZ86-8fow | SciShow,9w6dpi4bWLg,youtube#video,2015-04-18T00:29:38.000Z,Hormones and Puppy Love,UUZYTClx2T1of7BRZ86-8fow,27.0,PT4M38S,284734.0,7304.0,45.0,"0, 0, 1, 1, 2, 2, 2, 2, 2","['AA4KKLIU4C3NY', 'A140DPSW275GFR', 'A1Y3W8KKAU1S0J', 'A1DCKRRPA4AWVD', 'A2LV5432PV1S39', 'ANBWJZYU2A68T', 'A1MUDJIK7VV15W', 'A3HCGNV93TJO7R', 'A3R3OUJP49459I']",9,1.333333333333333,0.8164965809277259
1826,UCftwRNsjfRo08xYE31tkiyw | WIRED,9wMizV1KG-M,youtube#video,2017-04-05T10:00:25.000Z,Chris Evans Answers the Web's Most Searched Questions | WIRED,UUftwRNsjfRo08xYE31tkiyw,24.0,PT4M35S,11987582.0,269956.0,2210.0,"0, 1","['ALHT37PYQA05D', 'A39980PKUJE4NS']",2,0.5,0.5
1827,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,9wbLL_0vYsY,youtube#video,2016-02-20T15:00:00.000Z,Robotic cockroach experiments,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT1M28S,2936582.0,14480.0,3274.0,"0, 0, 0, 0, 0, 1, 1","['A2X5RIMKTETKWM', 'A3AYDZLIK17L9K', 'AE63GABJL0FGJ', 'A1A6UVH1CCP8CD', 'A3RUKVMI0RQ7HZ', 'A2M59R65OZRNNX', 'A2VAOQ8P5M2Y8D']",7,0.2857142857142857,0.4517539514526256
1828,UCZYTClx2T1of7BRZ86-8fow | SciShow,9x7uOG1nx0A,youtube#video,2016-09-12T21:00:01.000Z,Stealth: How to Hide a Plane,UUZYTClx2T1of7BRZ86-8fow,27.0,PT3M52S,518573.0,14544.0,170.0,"0, 1, 2","['A18G2CLYSTENK', 'A3VA8TXLVV8ESX', 'A1U3G8JR7XNOYN']",3,1.0,0.8164965809277259
1829,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,9xQ380lPyus,youtube#video,2019-11-09T14:00:00.000Z,Scientists Have Just Made Their Own Brain (WOW),UUfdNM3NAhaBOXCafH7krzrA,27.0,PT6M49S,276869.0,9373.0,220.0,"1, 2, 2","['A2VGEE0ZIZ8CBQ', 'AYPOAY43REHC8', 'A2SKH7WZUEDGGI']",3,1.666666666666667,0.4714045207910317
1830,UCZYTClx2T1of7BRZ86-8fow | SciShow,9xQQixUidPY,youtube#video,2017-07-15T21:00:01.000Z,Why Do Cat Eyes Glow in the Dark?,UUZYTClx2T1of7BRZ86-8fow,27.0,PT2M15S,341084.0,7924.0,86.0,2,['A1YZXZITMRNKUK'],1,2.0,0.0
1831,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,9xUf-tF-OU8,youtube#video,2016-12-29T22:00:01.000Z,Animation reveals what would happen if an asteroid hit the ocean,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT2M,171833.0,1156.0,146.0,"0, 0","['AGLRR7BJRX0J5', 'A1WBSYXJA7CD2Z']",2,0.0,0.0
1832,UCkJEpR7JmS36tajD34Gp4VA | Psych2Go,9yPlg3B2O2c,youtube#video,2019-04-28T04:54:16.000Z,12 Things Happy Couples Do For Each Other,UUkJEpR7JmS36tajD34Gp4VA,27.0,PT4M23S,353400.0,15941.0,138.0,"0, 0, 1","['A36IYIE23IO4HE', 'A1IMRSDQ7RO9US', 'A1N71B6QU2R0LA']",3,0.3333333333333333,0.4714045207910317
1833,UCZYTClx2T1of7BRZ86-8fow | SciShow,9y_uNpXt09o,youtube#video,2017-03-04T22:00:00.000Z,What Did Dinosaurs Taste Like?,UUZYTClx2T1of7BRZ86-8fow,27.0,PT2M39S,470537.0,10251.0,544.0,"0, 0","['A1VPSWYSCJYPEB', 'A2G92T4A1U377C']",2,0.0,0.0
1834,UCZYTClx2T1of7BRZ86-8fow | SciShow,9z08SD5iRuk,youtube#video,2016-06-11T21:00:00.000Z,Underwater Discovery and Adventure: The Story of Jacques Cousteau,UUZYTClx2T1of7BRZ86-8fow,27.0,PT4M33S,262593.0,7348.0,80.0,"1, 1","['A3YP2RNFZ1PQP', 'A3QU964EOJXS56']",2,1.0,0.0
1835,UCZYTClx2T1of7BRZ86-8fow | SciShow,9zp3kU5dpWE,youtube#video,2016-03-12T22:00:00.000Z,Why Does Plane Food Taste So Bad?,UUZYTClx2T1of7BRZ86-8fow,27.0,PT2M56S,435432.0,12511.0,158.0,1,['A2Z0V2A4SP5QE0'],1,1.0,0.0
1836,UCLXo7UDZvByw2ixzpQCufnA | Vox,9zumV39nm60,youtube#video,2018-03-26T12:25:13.000Z,Why selfies can make your nose look bigger,UULXo7UDZvByw2ixzpQCufnA,25.0,PT1M57S,491492.0,15034.0,376.0,"0, 1, 2","['A2TEJ6P33HEAP1', 'APF1EAZT104LQ', 'A3K4JTRUZQD096']",3,1.0,0.8164965809277259
1838,UCftwRNsjfRo08xYE31tkiyw | WIRED,A-1u1Yb5t3Q,youtube#video,2018-10-09T16:01:17.000Z,First Look: Google's Pixel 3 and Pixel 3 XL Hands On | WIRED,UUftwRNsjfRo08xYE31tkiyw,28.0,PT6M23S,246625.0,3708.0,336.0,"0, 1","['A3GRDYAGMTAU02', 'A2EC3L6VH2WTKF']",2,0.5,0.5
1839,UCftwRNsjfRo08xYE31tkiyw | WIRED,A-3yN2ePJwk,youtube#video,2019-03-25T16:00:04.000Z,Movie Accent Expert Breaks Down 28 Actors Playing Presidents | WIRED,UUftwRNsjfRo08xYE31tkiyw,24.0,PT27M29S,3023728.0,66707.0,794.0,"0, 0","['A86CAG3LG83GG', 'A1O6NAOVMJ1XVC']",2,0.0,0.0
1840,UCsooa4yRKGN_zEE8iknghZA | TED-Ed,A-QgGXbDyR0,youtube#video,2017-06-05T15:00:06.000Z,Why don't perpetual motion machines ever work? - Netta Schramm,UUsooa4yRKGN_zEE8iknghZA,27.0,PT5M31S,8534573.0,152888.0,3808.0,"0, 0","['A86CAG3LG83GG', 'A1H198MRIM37T1']",2,0.0,0.0
1841,UCR1IuLEqb6UEA_zQ81kwXfg | Real Engineering,A00QWVHem3A,youtube#video,2017-09-08T14:30:00.000Z,Why North Korea Can't Build An ICBM (yet),UUR1IuLEqb6UEA_zQ81kwXfg,28.0,PT8M17S,1639705.0,32010.0,1878.0,0,['A3ODGLELT1TPX'],1,0.0,0.0
1842,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,A0_uj_Fglys,youtube#video,2017-09-28T23:00:00.000Z,How Dogs See The World — And It's More Than Black And White,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT1M55S,189875.0,2395.0,58.0,"0, 1","['APX97K33SVQF1', 'AE3ZQZ2Z81Z11']",2,0.5,0.5
1843,UC9RM-iSvTu1uPJb8X5yp3EQ | Wendover Productions,A0qt0hdCQtg,youtube#video,2019-08-27T18:10:40.000Z,The US' Overseas Military Base Strategy,UU9RM-iSvTu1uPJb8X5yp3EQ,27.0,PT14M6S,1695123.0,43567.0,975.0,"0, 0","['A3QU964EOJXS56', 'A3T3CRF61D218E']",2,0.0,0.0
1844,UC6nSFpj9HTCZ5t-N3Rm3-HA | Vsauce,A1V-QQ5wFU4,youtube#video,2018-05-31T21:28:57.000Z,Mechanical Engineering: Crash Course Engineering #3,UUX6b17PVsYBQ0ip5gyeme-Q,27.0,PT9M39S,286598.0,6432.0,189.0,"0, 1","['A2TXC8Q2IFGRXH', 'A3QU964EOJXS56']",2,0.5,0.5
1845,UCkJEpR7JmS36tajD34Gp4VA | Psych2Go,A1g69WQyMZM,youtube#video,2016-08-28T02:00:00.000Z,Personality Quiz (Questions),UUkJEpR7JmS36tajD34Gp4VA,27.0,PT4M23S,255401.0,5264.0,206.0,"0, 1","['A2G92T4A1U377C', 'A39980PKUJE4NS']",2,0.5,0.5
1846,UC64UiPJwM_e9AqAd7RiD7JA | Today I Found Out,A2L3wxTwkyc,youtube#video,2016-01-25T16:00:00.000Z,Why “C” Is The Default Hard Drive Letter,UU64UiPJwM_e9AqAd7RiD7JA,27.0,PT4M54S,482519.0,8478.0,903.0,"2, 2","['AW2HEHEFKRGR6', 'A2Z0V2A4SP5QE0']",2,2.0,0.0
1847,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,A47slzMItAI,youtube#video,2017-06-01T21:00:00.000Z,Bill Gates Is Backing The Waterless Toilet Of The Future,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT1M58S,935483.0,9688.0,1024.0,"0, 1","['A2726YRGIF5ZXL', 'A1OSESE6RG3NFB']",2,0.5,0.5
1848,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,A4GB0pkGKAQ,youtube#video,2017-10-12T19:06:50.000Z,A mysterious 'hole' has reappeared in the middle of Antarctica,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT2M5S,448385.0,3582.0,264.0,"0, 0","['A2G92T4A1U377C', 'AW2HEHEFKRGR6']",2,0.0,0.0
1849,UCsooa4yRKGN_zEE8iknghZA | TED-Ed,A542ixwyBhc,youtube#video,2017-12-11T16:14:04.000Z,Why is Herodotus called “The Father of History”? - Mark Robinson,UUsooa4yRKGN_zEE8iknghZA,27.0,PT5M3S,1317398.0,26531.0,470.0,"0, 1","['A2KWEVSI7P1RGQ', 'A1SNX9NBRRIVON']",2,0.5,0.5
1850,UCZWlSUNDvCCS1hBiXV0zKcA | PragerU,A55nUV5Y2iM,youtube#video,2019-09-15T09:00:59.000Z,The Candace Owens Show: Nathan Latka,UUZWlSUNDvCCS1hBiXV0zKcA,27.0,PT37M25S,303314.0,3120.0,84.0,"0, 1","['A1WBSYXJA7CD2Z', 'AC54HUSIFWSP']",2,0.5,0.5
1851,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,A6PUReOuHVw,youtube#video,2015-09-16T17:49:36.000Z,Romantic Dilemmas - How Witcher 3 Builds Character through Choice - Extra Credits,UUCODtTcd5M1JavPCOr_Uydg,20.0,PT6M5S,478045.0,13816.0,226.0,"0, 0","['A21TGZU9EXJ272', 'A2G92T4A1U377C']",2,0.0,0.0
1852,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,A6UsE-zVCEE,youtube#video,2017-05-25T23:00:00.000Z,A Physicist Answers Why We Are Here,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT1M52S,143162.0,2268.0,377.0,"0, 0","['A2LGEIY8RXI1EW', 'A1WBSYXJA7CD2Z']",2,0.0,0.0
1853,UC9Ep0Y4T5rvUuIfjKN1wqTw | Ridddle,A7eb1DHZ9GQ,youtube#video,2018-01-10T18:40:09.000Z,"If You Detonated a Nuclear Bomb In The Marianas Trench (Just Fantasy, not science!)",UU9Ep0Y4T5rvUuIfjKN1wqTw,24.0,PT7M4S,29041453.0,194707.0,68417.0,"0, 1, 2","['A2ZQCHONMAJZF', 'A16QZSBYXE5VY8', 'A16QZSBYXE5VY8']",2,1.0,0.8164965809277259
1854,UCsooa4yRKGN_zEE8iknghZA | TED-Ed,A9fQPzZ1-hg,youtube#video,2017-08-16T15:02:16.000Z,The rise and fall of the Berlin Wall - Konrad H. Jarausch,UUsooa4yRKGN_zEE8iknghZA,27.0,PT6M26S,4372350.0,82775.0,2137.0,"0, 0","['ALHT37PYQA05D', 'AYMJAMX7Z7YHG']",2,0.0,0.0
1855,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,A9qr4SAlHpA,youtube#video,2016-08-31T21:00:01.000Z,Gallium metal melting a soda can,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT1M23S,172009.0,697.0,75.0,"0, 2","['A3PQ5Q456J981M', 'A28EZTFIIDESKT']",2,1.0,1.0
1856,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,AAlUnIfkN-Y,youtube#video,2017-06-30T21:00:01.000Z,I Tried The 7-Minute Workout For A Month — Here's What Happened,UUVLZmDKeT-mV4H3ToYXIFYg,17.0,PT2M57S,3515206.0,32413.0,1500.0,"0, 1","['AA4KKLIU4C3NY', 'A3BHWR32XVJSXJ']",2,0.5,0.5
1857,UCLXo7UDZvByw2ixzpQCufnA | Vox,ABUuFJU71PY,youtube#video,2016-02-17T12:47:36.000Z,Broad City's weird and wonderful world of jokes,UULXo7UDZvByw2ixzpQCufnA,25.0,PT7M34S,486488.0,9779.0,832.0,"0, 2","['A3PQ5Q456J981M', 'A2OP2ZANIM5ZV']",2,1.0,1.0
1859,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,ABb-OH5iv9o,youtube#video,2019-07-12T01:15:02.000Z,What Happens In The H Unit At Federal Supermax Prison?,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT10M54S,1109311.0,19498.0,1062.0,"0, 1","['A2G92T4A1U377C', 'A3T3CRF61D218E']",2,0.5,0.5
1860,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,ACIJi3pBAkc,youtube#video,2018-05-16T19:00:00.000Z,Forget Mars — There Could Be Alien Life On Venus,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT4M26S,116424.0,2235.0,108.0,"1, 2","['A3AYDZLIK17L9K', 'A2FIMENJ9UMN7M']",2,1.5,0.5
1861,UCkJEpR7JmS36tajD34Gp4VA | Psych2Go,ACzlvDyTbIY,youtube#video,2019-05-09T14:29:41.000Z,10 Signs of Fake Nice People,UUkJEpR7JmS36tajD34Gp4VA,27.0,PT6M25S,1363627.0,47535.0,1277.0,"0, 1","['ACI8PUCF5OPDC', 'A2HX13XTRKDD9C']",2,0.5,0.5
1862,UCRyIP2oznv4UPAl1jmKS5kA | Top 10s,AD3MrD44M_Y,youtube#video,2019-01-09T23:02:53.000Z,30 Courtroom Moments You Wouldn't Believe If They Weren't Recorded! | Compilation,UURyIP2oznv4UPAl1jmKS5kA,27.0,PT27M35S,1358743.0,13576.0,1442.0,"0, 2","['A2HX13XTRKDD9C', 'A30GJ0HHLO16E8']",2,1.0,1.0
1863,UCZYTClx2T1of7BRZ86-8fow | SciShow,ADLPNnld_nk,youtube#video,2015-11-10T00:28:25.000Z,Can You Really 'Train' Your Brain?,UUZYTClx2T1of7BRZ86-8fow,27.0,PT4M16S,483653.0,9525.0,242.0,"0, 1","['A3PQ5Q456J981M', 'A2OP2ZANIM5ZV']",2,0.5,0.5
1864,UCsooa4yRKGN_zEE8iknghZA | TED-Ed,ADR7dUoVh_c,youtube#video,2016-11-01T15:05:57.000Z,Can you solve the river crossing riddle? - Lisa Winer,UUsooa4yRKGN_zEE8iknghZA,27.0,PT4M19S,4204371.0,36546.0,934.0,"0, 0","['A2KWEVSI7P1RGQ', 'A3J4QZVB7RJQ0U']",2,0.0,0.0
1865,UC6nSFpj9HTCZ5t-N3Rm3-HA | Vsauce,ADTTXRxVUcY,youtube#video,2016-09-09T21:33:53.000Z,PC Gaming: Crash Course Games #20,UUX6b17PVsYBQ0ip5gyeme-Q,27.0,PT10M18S,199684.0,5818.0,91.0,"0, 1","['A3GRDYAGMTAU02', 'https://visualblocks.app/task?task=19']",2,0.5,0.5
1866,UC6nSFpj9HTCZ5t-N3Rm3-HA | Vsauce,AEaKrq3SpW8,youtube#video,2017-09-20T21:47:22.000Z,The Internet: Crash Course Computer Science #29,UUX6b17PVsYBQ0ip5gyeme-Q,27.0,PT11M58S,301773.0,6313.0,100.0,"0, 0, 1","['A1CO4EINRZCSSK', 'AA4KKLIU4C3NY', 'A2I37S7GQR6X1H']",3,0.3333333333333333,0.4714045207910317
1867,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,AFOFYhB6tY8,youtube#video,2017-11-01T21:00:00.000Z,Difference Between Yams And Sweet Potatoes,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT2M,101276.0,638.0,109.0,"0, 0, 1","['AWKP0M7G5BBCC', 'ACF8CYOJ1P4GC', 'A2Z0V2A4SP5QE0']",3,0.3333333333333333,0.4714045207910317
1868,UCZYTClx2T1of7BRZ86-8fow | SciShow,AFZeY7XHXhA,youtube#video,2018-08-17T21:00:01.000Z,A Zombie Gene Keeps Elephants from Getting Cancer | SciShow News,UUZYTClx2T1of7BRZ86-8fow,27.0,PT4M54S,158933.0,7261.0,61.0,"1, 2, 3","['AYWVS4HKC3UVM', 'A3BTK49X4ITNXJ', 'A3NZNWXAOR7216']",3,2.0,0.8164965809277259
1869,UCLXo7UDZvByw2ixzpQCufnA | Vox,AFw8MSF7yE4,youtube#video,2015-12-11T16:11:30.000Z,The World War II meme that circled the world,UULXo7UDZvByw2ixzpQCufnA,25.0,PT2M8S,3479064.0,60097.0,1164.0,"0, 1, 1","['AFPB6UZWRG3G1', 'A3959GYL1Z4EO0', 'A28EZTFIIDESKT']",3,0.6666666666666666,0.4714045207910317
